visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P016,adventurer,45,2025-10-11T03:12:15.712923,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 45, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 9}"
P016,adventurer,46,2025-10-11T03:12:15.726562,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P016,adventurer,47,2025-10-11T03:12:15.750510,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 47, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 13}"
P016,adventurer,64,2025-10-11T03:12:16.156130,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P016,adventurer,99,2025-10-11T03:12:16.473489,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P016,adventurer,106,2025-10-11T03:12:16.560513,joined_queue,Ride1,6,,"{""ride_name"": ""Ride1"", ""queue_position"": 6}"
P016,adventurer,124,2025-10-11T03:12:16.691739,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 124, ""ride_id"": ""Ride1"", ""queue_len"": 7, ""patience_at_leave"": 7}"
P016,adventurer,125,2025-10-11T03:12:16.698833,joined_queue,Ride1,8,,"{""ride_name"": ""Ride1"", ""queue_position"": 8}"
P016,adventurer,130,2025-10-11T03:12:16.740684,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 130, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 7}"
P016,adventurer,131,2025-10-11T03:12:16.751267,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P016,adventurer,132,2025-10-11T03:12:16.767629,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 132, ""ride_id"": ""Ride1"", ""queue_len"": 10, ""patience_at_leave"": 11}"
P016,adventurer,137,2025-10-11T03:12:16.840165,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P016,adventurer,141,2025-10-11T03:12:16.898415,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 141, ""ride_id"": ""Ride1"", ""queue_len"": 10, ""patience_at_leave"": 12}"
P016,adventurer,146,2025-10-11T03:12:16.949824,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P016,adventurer,181,2025-10-11T03:12:17.008888,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P016,adventurer,187,2025-10-11T03:12:17.016820,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P018,impatient,154,2025-10-11T03:12:16.979757,departed,,,,"{""total_rides"": 0}"
P019,explorer,104,2025-10-11T03:12:16.536893,departed,,,,"{""total_rides"": 0}"
P020,adventurer,24,2025-10-11T03:12:15.348310,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P020,adventurer,35,2025-10-11T03:12:15.501392,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 35, ""ride_id"": ""Ride1"", ""queue_len"": 8, ""patience_at_leave"": 14}"
P020,adventurer,64,2025-10-11T03:12:16.156376,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P020,adventurer,99,2025-10-11T03:12:16.473837,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P021,family,88,2025-10-11T03:12:16.387580,joined_queue,Ride2,3,,"{""ride_name"": ""Ride2"", ""queue_position"": 3}"
P021,family,101,2025-10-11T03:12:16.497567,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 101, ""ride_id"": ""Ride2"", ""queue_len"": 5, ""patience_at_leave"": 5}"
P021,family,102,2025-10-11T03:12:16.513506,joined_queue,Ride2,6,,"{""ride_name"": ""Ride2"", ""queue_position"": 6}"
P021,family,107,2025-10-11T03:12:16.568992,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 107, ""ride_id"": ""Ride2"", ""queue_len"": 6, ""patience_at_leave"": 5}"
P021,family,108,2025-10-11T03:12:16.579242,joined_queue,Ride2,7,,"{""ride_name"": ""Ride2"", ""queue_position"": 7}"
P021,family,110,2025-10-11T03:12:16.593037,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 110, ""ride_id"": ""Ride2"", ""queue_len"": 7, ""patience_at_leave"": 8}"
P021,family,111,2025-10-11T03:12:16.599561,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P021,family,116,2025-10-11T03:12:16.626677,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 116, ""ride_id"": ""Ride2"", ""queue_len"": 8, ""patience_at_leave"": 8}"
P021,family,138,2025-10-11T03:12:16.863597,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P021,family,180,2025-10-11T03:12:17.007544,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P021,family,191,2025-10-11T03:12:17.020273,joined_queue,Ride2,2,,"{""ride_name"": ""Ride2"", ""queue_position"": 2}"
P022,impatient,48,2025-10-11T03:12:15.781055,departed,,,,"{""total_rides"": 0}"
P024,adventurer,20,2025-10-11T03:12:15.313490,joined_queue,Ride1,9,,"{""ride_name"": ""Ride1"", ""queue_position"": 9}"
P024,adventurer,23,2025-10-11T03:12:15.344696,boarded_ride,Ride1,,3,"{""ride_name"": ""Ride1""}"
P024,adventurer,58,2025-10-11T03:12:16.035026,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P024,adventurer,64,2025-10-11T03:12:16.157408,joined_queue,Ride1,4,,"{""ride_name"": ""Ride1"", ""queue_position"": 4}"
P024,adventurer,82,2025-10-11T03:12:16.333942,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 82, ""ride_id"": ""Ride1"", ""queue_len"": 6, ""patience_at_leave"": 7}"
P024,adventurer,83,2025-10-11T03:12:16.346899,joined_queue,Ride1,7,,"{""ride_name"": ""Ride1"", ""queue_position"": 7}"
P024,adventurer,88,2025-10-11T03:12:16.387597,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 88, ""ride_id"": ""Ride1"", ""queue_len"": 8, ""patience_at_leave"": 7}"
P024,adventurer,89,2025-10-11T03:12:16.397500,joined_queue,Ride1,9,,"{""ride_name"": ""Ride1"", ""queue_position"": 9}"
P024,adventurer,90,2025-10-11T03:12:16.402810,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 90, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 11}"
P024,adventurer,91,2025-10-11T03:12:16.409889,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P024,adventurer,98,2025-10-11T03:12:16.468800,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 98, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 9}"
P024,adventurer,105,2025-10-11T03:12:16.553461,boarded_ride,Ride1,,3,"{""ride_name"": ""Ride1""}"
P024,adventurer,175,2025-10-11T03:12:17.003436,departed,,,,"{""total_rides"": 6}"
P026,impatient,65,2025-10-11T03:12:16.175839,departed,,,,"{""total_rides"": 0}"
P027,explorer,44,2025-10-11T03:12:15.698169,joined_queue,Ride2,4,,"{""ride_name"": ""Ride2"", ""queue_position"": 4}"
P027,explorer,54,2025-10-11T03:12:15.933491,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 54, ""ride_id"": ""Ride2"", ""queue_len"": 8, ""patience_at_leave"": 6}"
P027,explorer,85,2025-10-11T03:12:16.363673,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P027,explorer,128,2025-10-11T03:12:16.726546,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
